,score,decision_baseline
5441,0.731990618885531,1
2799,0.5217563781783966,1
2874,0.3694698085419734,0
567,0.6449206805867398,1
3039,0.26622091073520215,0
4804,0.8332730752655108,1
5438,0.8020201222072659,1
4107,0.22991835150581358,0
583,0.4479796136943156,0
4617,0.20817929331184898,0
662,0.2928765236911676,0
4644,0.8020201222072659,1
3033,0.7518761910269139,1
4953,0.35240056538577386,0
1816,0.1793690129414663,0
4851,0.43374430104640177,0
29,0.7518761910269139,1
749,0.26622091073520215,0
6676,0.36554123711340203,0
4320,0.3694698085419734,0
2027,0.459530162503905,0
906,0.4546624376361801,0
61,0.868992673992674,1
2025,0.5217563781783966,1
7145,0.857087912087912,1
6104,0.3052688347429507,0
3071,0.2826201134347574,0
2234,0.42748908836917066,0
774,0.2928765236911676,0
3342,0.3772139162860812,0
3241,0.7035374282236833,1
4765,0.12881428169353865,0
3317,0.459530162503905,0
5642,0.42748908836917066,0
4516,0.26622091073520215,0
1778,0.42748908836917066,0
4902,0.5104432468652652,1
6311,0.2928765236911676,0
548,0.630067927705818,1
4582,0.5279689012874713,1
1377,0.7121410098454047,1
5888,0.6431992408371311,1
2150,0.6449206805867398,1
2283,0.6939466353848086,1
2002,0.36554123711340203,0
6022,0.26622091073520215,0
1805,0.7777531859079737,1
347,0.6449206805867398,1
3524,0.7035374282236833,1
4778,0.5195341559561744,1
1879,0.7518761910269139,1
3150,0.3415118262423177,0
2147,0.8285567075731196,1
5959,0.5878354374813153,1
6330,0.7518761910269139,1
4082,0.2928765236911676,0
4218,0.7333529007075829,1
6832,0.43374430104640177,0
1964,0.3694698085419734,0
717,0.16139725427651125,0
914,0.5449480732731964,1
5617,0.8080215008717664,1
4901,0.7518761910269139,1
6872,0.3215583508036338,0
5744,0.5195341559561744,1
6978,0.471593654567397,0
6119,0.5878354374813153,1
2589,0.3694698085419734,0
5023,0.8020201222072659,1
7005,0.16139725427651125,0
4222,0.2928765236911676,0
6806,0.5217563781783966,1
5169,0.3772139162860812,0
1648,0.5217563781783966,1
2031,0.8020201222072659,1
3743,0.7518761910269139,1
1463,0.7333529007075829,1
1239,0.36554123711340203,0
3221,0.8020201222072659,1
11,0.5878354374813153,1
4453,0.6939466353848086,1
2274,0.6922224974537741,1
32,0.5878354374813153,1
4628,0.5217563781783966,1
2556,0.676001761667821,1
3820,0.5490385804671518,1
4334,0.26622091073520215,0
2551,0.42748908836917066,0
1212,0.5886975064468325,1
6257,0.2928765236911676,0
2540,0.36554123711340203,0
5008,0.30121351359902193,0
4343,0.42748908836917066,0
2394,0.42748908836917066,0
1668,0.5217563781783966,1
5884,0.051515151515151514,0
2806,0.3694698085419734,0
3015,0.7330875923629911,1
1137,0.3694698085419734,0
1620,0.7333529007075829,1
1175,0.3290583508036338,0
5077,0.7489411805447336,1
5676,0.42748908836917066,0
459,0.4484072249589491,0
3002,0.2733218678207224,0
6332,0.20915490306794654,0
5189,0.6939466353848086,1
2369,0.3437662545837026,0
65,0.6449206805867398,1
2579,0.26622091073520215,0
6816,0.8020201222072659,1
2566,0.6611414163726931,1
2758,0.7518761910269139,1
5142,0.625760934856404,1
1912,0.7518761910269139,1
4212,0.20817929331184898,0
2271,0.471593654567397,0
2288,0.8441499066970766,1
7006,0.20915490306794654,0
7017,0.3694698085419734,0
6263,0.2249688565563186,0
1260,0.5403496503496503,1
2264,0.7600062723277269,1
1699,0.41974498062506294,0
5892,0.12881428169353865,0
631,0.5195341559561744,1
4903,0.36554123711340203,0
1681,0.3694698085419734,0
2904,0.09151515151515152,0
6072,0.3694698085419734,0
3390,0.43374430104640177,0
6508,0.16139725427651125,0
6523,0.26622091073520215,0
4785,0.26622091073520215,0
6954,0.5878354374813153,1
6184,0.20817929331184898,0
1473,0.5657047503440751,1
2273,0.2928765236911676,0
6658,0.6855925545066957,1
4272,0.3909144752428334,0
6221,0.42748908836917066,0
1787,0.3437662545837026,0
1640,0.5217563781783966,1
5407,0.26622091073520215,0
2864,0.5886975064468325,1
5233,0.8039221311415699,1
6858,0.20915490306794654,0
5631,0.3694698085419734,0
3870,0.5744335477521177,1
