,seed_0,seed_1,seed_2,seed_3,seed_4,seed_5,seed_6,seed_7,seed_8,seed_9
5441,1,1,1,1,1,1,1,1,1,1
2799,0,0,0,0,0,0,0,0,0,0
2874,0,0,0,0,0,0,0,0,0,0
567,0,0,0,0,0,0,0,0,0,0
3039,0,0,0,0,0,0,0,0,0,0
4804,1,1,1,1,1,1,1,1,1,1
5438,1,1,1,1,1,1,1,1,1,1
4107,0,0,0,0,0,0,0,0,0,0
583,0,0,0,0,0,0,0,0,0,0
4617,0,0,0,0,0,0,0,0,0,0
662,0,0,0,0,0,0,0,0,0,0
4644,1,1,1,1,1,1,1,1,1,1
3033,1,1,1,1,1,1,1,1,1,1
4953,0,0,0,0,0,0,0,0,0,0
1816,0,0,0,0,0,0,0,0,0,0
4851,0,0,0,0,0,0,0,0,0,0
29,1,1,1,1,1,1,1,1,1,1
749,0,0,0,0,0,0,0,0,0,0
6676,0,0,0,0,0,0,0,0,0,0
4320,0,0,0,0,0,0,0,0,0,0
2027,0,0,0,0,0,0,0,0,0,0
906,0,0,0,0,0,0,0,0,0,0
61,1,1,1,1,1,1,1,1,1,1
2025,0,0,0,0,0,0,0,0,0,0
7145,1,1,1,1,1,1,1,1,1,1
6104,0,0,0,0,0,0,0,0,0,0
3071,0,0,0,0,0,0,0,0,0,0
2234,0,0,0,0,0,0,0,0,0,0
774,0,0,0,0,0,0,0,0,0,0
3342,0,0,0,0,0,0,0,0,0,0
3241,1,1,1,1,1,1,1,1,1,1
4765,0,0,0,0,0,0,0,0,0,0
3317,0,0,0,0,0,0,0,0,0,0
5642,0,0,0,0,0,0,0,0,0,0
4516,0,0,0,0,0,0,0,0,0,0
1778,0,0,0,0,0,0,0,0,0,0
4902,0,0,0,0,0,0,0,0,0,0
6311,0,0,0,0,0,0,0,0,0,0
548,1,1,1,1,1,1,1,1,1,1
4582,0,0,0,0,0,0,0,0,0,0
1377,1,1,1,1,1,1,1,1,1,1
5888,0,0,0,0,0,0,0,0,0,0
2150,0,0,0,0,0,0,0,0,0,0
2283,0,0,0,0,0,0,0,0,0,0
2002,0,0,0,0,0,0,0,0,0,0
6022,0,0,0,0,0,0,0,0,0,0
1805,1,1,1,1,1,1,1,1,1,1
347,0,0,0,0,0,0,0,0,0,0
3524,1,1,1,1,1,1,1,1,1,1
4778,0,0,0,0,0,0,0,0,0,0
1879,1,1,1,1,1,1,1,1,1,1
3150,0,0,0,0,0,0,0,0,0,0
2147,1,1,1,1,1,1,1,1,1,1
5959,0,0,0,0,0,0,0,0,0,0
6330,1,1,1,1,1,1,1,1,1,1
4082,0,0,0,0,0,0,0,0,0,0
4218,1,1,1,1,1,1,1,1,1,1
6832,0,0,0,0,0,0,0,0,0,0
1964,0,0,0,0,0,0,0,0,0,0
717,0,0,0,0,0,0,0,0,0,0
914,0,0,0,0,0,0,0,0,0,0
5617,1,1,1,1,1,1,1,1,1,1
4901,1,1,1,1,1,1,1,1,1,1
6872,0,0,0,0,0,0,0,0,0,0
5744,0,0,0,0,0,0,0,0,0,0
6978,0,0,0,0,0,0,0,0,0,0
6119,0,0,0,0,0,0,0,0,0,0
2589,0,0,0,0,0,0,0,0,0,0
5023,1,1,1,1,1,1,1,1,1,1
7005,0,0,0,0,0,0,0,0,0,0
4222,0,0,0,0,0,0,0,0,0,0
6806,1,1,1,1,1,1,1,1,1,1
5169,0,0,0,0,0,0,0,0,0,0
1648,0,0,0,0,0,0,0,0,0,0
2031,1,1,1,1,1,1,1,1,1,1
3743,1,1,1,1,1,1,1,1,1,1
1463,1,1,1,1,1,1,1,1,1,1
1239,0,0,0,0,0,0,0,0,0,0
3221,1,1,1,1,1,1,1,1,1,1
11,0,0,0,0,0,0,0,0,0,0
4453,1,1,1,1,1,1,1,1,1,1
2274,0,0,0,0,0,0,0,0,0,0
32,0,0,0,0,0,0,0,0,0,0
4628,1,1,1,1,1,1,1,1,1,1
2556,1,1,1,1,1,1,1,1,1,1
3820,0,0,0,0,0,0,0,0,0,0
4334,0,0,0,0,0,0,0,0,0,0
2551,0,0,0,0,0,0,0,0,0,0
1212,1,1,1,1,1,1,1,1,1,1
6257,0,0,0,0,0,0,0,0,0,0
2540,0,0,0,0,0,0,0,0,0,0
5008,0,0,0,0,0,0,0,0,0,0
4343,0,0,0,0,0,0,0,0,0,0
2394,0,0,0,0,0,0,0,0,0,0
1668,1,1,1,1,1,1,1,1,1,1
5884,0,0,0,0,0,0,0,0,0,0
2806,0,0,0,0,0,0,0,0,0,0
3015,1,1,1,1,1,1,1,1,1,1
1137,0,0,0,0,0,0,0,0,0,0
1620,1,1,1,1,1,1,1,1,1,1
1175,0,0,0,0,0,0,0,0,0,0
5077,1,1,1,1,1,1,1,1,1,1
5676,0,0,0,0,0,0,0,0,0,0
459,0,0,0,0,0,0,0,0,0,0
3002,0,0,0,0,0,0,0,0,0,0
6332,0,0,0,0,0,0,0,0,0,0
5189,0,0,0,0,0,0,0,0,0,0
2369,0,0,0,0,0,0,0,0,0,0
65,0,0,0,0,0,0,0,0,0,0
2579,0,0,0,0,0,0,0,0,0,0
6816,1,1,1,1,1,1,1,1,1,1
2566,0,0,0,0,0,0,0,0,0,0
2758,1,1,1,1,1,1,1,1,1,1
5142,0,0,0,0,0,0,0,0,0,0
1912,1,1,1,1,1,1,1,1,1,1
4212,0,0,0,0,0,0,0,0,0,0
2271,0,0,0,0,0,0,0,0,0,0
2288,1,1,1,1,1,1,1,1,1,1
7006,0,0,0,0,0,0,0,0,0,0
7017,0,0,0,0,0,0,0,0,0,0
6263,0,0,0,0,0,0,0,0,0,0
1260,0,0,0,0,0,0,0,0,0,0
2264,1,1,1,1,1,1,1,1,1,1
1699,0,0,0,0,0,0,0,0,0,0
5892,0,0,0,0,0,0,0,0,0,0
631,0,0,0,0,0,0,0,0,0,0
4903,0,0,0,0,0,0,0,0,0,0
1681,0,0,0,0,0,0,0,0,0,0
2904,0,0,0,0,0,0,0,0,0,0
6072,0,0,0,0,0,0,0,0,0,0
3390,0,0,0,0,0,0,0,0,0,0
6508,0,0,0,0,0,0,0,0,0,0
6523,0,0,0,0,0,0,0,0,0,0
4785,0,0,0,0,0,0,0,0,0,0
6954,1,1,1,1,1,1,1,1,1,1
6184,0,0,0,0,0,0,0,0,0,0
1473,0,0,0,0,0,0,0,0,0,0
2273,0,0,0,0,0,0,0,0,0,0
6658,0,0,0,0,0,0,0,0,0,0
4272,0,0,0,0,0,0,0,0,0,0
6221,0,0,0,0,0,0,0,0,0,0
1787,0,0,0,0,0,0,0,0,0,0
1640,1,1,1,1,1,1,1,1,1,1
5407,0,0,0,0,0,0,0,0,0,0
2864,0,0,0,0,0,0,0,0,0,0
5233,1,1,1,1,1,1,1,1,1,1
