,decision_EO_mean
5441,1.0
2799,0.0
2874,0.0
567,0.0
3039,0.0
4804,1.0
5438,1.0
4107,0.0
583,0.0
4617,0.0
662,0.0
4644,1.0
3033,1.0
4953,0.0
1816,0.0
4851,0.0
29,1.0
749,0.0
6676,0.0
4320,0.0
2027,0.0
906,0.0
61,1.0
2025,0.0
7145,1.0
6104,0.0
3071,0.0
2234,0.0
774,0.0
3342,0.0
3241,1.0
4765,0.0
3317,0.0
5642,0.0
4516,0.0
1778,0.0
4902,0.0
6311,0.0
548,1.0
4582,0.0
1377,1.0
5888,0.0
2150,0.0
2283,0.0
2002,0.0
6022,0.0
1805,1.0
347,0.0
3524,1.0
4778,0.0
1879,1.0
3150,0.0
2147,1.0
5959,0.0
6330,1.0
4082,0.0
4218,1.0
6832,0.0
1964,0.0
717,0.0
914,0.0
5617,1.0
4901,1.0
6872,0.0
5744,0.0
6978,0.0
6119,0.0
2589,0.0
5023,1.0
7005,0.0
4222,0.0
6806,1.0
5169,0.0
1648,0.0
2031,1.0
3743,1.0
1463,1.0
1239,0.0
3221,1.0
11,0.0
4453,1.0
2274,0.0
32,0.0
4628,1.0
2556,1.0
3820,0.0
4334,0.0
2551,0.0
1212,1.0
6257,0.0
2540,0.0
5008,0.0
4343,0.0
2394,0.0
1668,1.0
5884,0.0
2806,0.0
3015,1.0
1137,0.0
1620,1.0
1175,0.0
5077,1.0
5676,0.0
459,0.0
3002,0.0
6332,0.0
5189,0.0
2369,0.0
65,0.0
2579,0.0
6816,1.0
2566,0.0
2758,1.0
5142,0.0
1912,1.0
4212,0.0
2271,0.0
2288,1.0
7006,0.0
7017,0.0
6263,0.0
1260,0.0
2264,1.0
1699,0.0
5892,0.0
631,0.0
4903,0.0
1681,0.0
2904,0.0
6072,0.0
3390,0.0
6508,0.0
6523,0.0
4785,0.0
6954,1.0
6184,0.0
1473,0.0
2273,0.0
6658,0.0
4272,0.0
6221,0.0
1787,0.0
1640,1.0
5407,0.0
2864,0.0
5233,1.0
6858,0.0
5631,0.0
3870,1.0
3103,0.0
2200,0.0
2822,0.0
1890,0.0
3629,0.0
6587,0.0
3158,0.0
3499,0.0
4038,1.0
3509,0.0
1256,0.0
4011,0.0
2346,1.0
5443,1.0
357,1.0
6644,0.0
1005,1.0
10,0.0
3436,0.0
1459,1.0
2172,0.0
6846,0.0
6407,1.0
856,0.0
6160,0.0
6008,1.0
2544,0.0
5761,1.0
5659,0.0
6765,0.0
6515,1.0
4813,0.0
6375,0.0
3122,0.0
816,1.0
6235,0.0
4145,1.0
7044,0.0
6043,0.0
3266,0.0
3564,0.0
887,1.0
2103,0.0
6195,0.0
4924,0.0
7175,0.0
1887,0.0
1661,1.0
4518,0.0
6906,0.0
2152,0.0
1338,0.0
4435,0.0
6068,0.0
4232,1.0
1461,1.0
4268,0.0
268,0.0
6560,1.0
2208,0.0
2259,0.0
3118,1.0
1319,0.0
3771,0.0
3972,0.0
3176,0.0
3191,0.0
5900,0.0
3928,0.0
5621,0.0
4127,1.0
3671,0.0
1718,0.0
1624,0.0
5705,1.0
4404,0.0
2954,0.0
2696,0.0
6802,0.0
5907,0.0
2892,0.0
1595,1.0
2562,0.0
6356,0.0
649,0.0
764,0.0
4656,1.0
402,0.0
4688,0.0
1273,0.0
6091,0.0
2977,0.0
1111,0.0
2886,0.0
5374,0.0
2276,0.0
405,1.0
6201,0.0
4355,0.0
5289,0.0
2933,0.0
5117,0.0
3105,0.0
3289,1.0
2580,0.0
4731,1.0
1813,0.0
5580,1.0
2402,0.0
865,0.0
95,0.0
3990,0.0
1267,0.0
7212,0.0
1301,0.0
1192,0.0
5360,0.0
1911,0.0
6510,0.0
6454,1.0
902,0.0
7007,0.0
6319,0.0
4545,0.0
3818,0.0
2766,1.0
4362,0.0
1952,0.0
3036,0.0
2476,1.0
720,0.0
2500,0.0
6850,0.0
1469,1.0
6357,1.0
3841,1.0
4231,1.0
1502,1.0
3898,0.0
811,1.0
4375,0.0
5706,1.0
5183,0.0
2179,0.0
5010,0.0
5197,0.0
4834,1.0
1044,0.0
6553,0.0
3203,1.0
6855,0.0
1228,0.0
5204,0.0
2787,0.0
4315,1.0
6705,0.0
1143,0.0
3598,0.0
780,0.0
7181,0.0
3087,0.0
5135,0.0
473,0.0
1489,1.0
6614,0.0
5826,1.0
3594,1.0
6496,1.0
3076,0.0
387,0.0
3247,0.0
3182,0.0
3522,0.0
2930,0.0
7053,0.0
2215,0.0
4187,0.0
1420,0.0
5382,0.0
657,1.0
6532,0.0
7189,0.0
4238,1.0
3439,0.0
6057,0.0
3884,0.0
1579,0.0
1680,1.0
4556,0.0
5129,0.0
1632,1.0
6506,0.0
819,0.0
6975,0.0
5166,0.0
2067,0.0
248,1.0
6659,0.0
2378,0.0
5483,0.0
1299,0.0
1164,0.0
192,0.0
2877,0.0
6647,0.0
1187,0.0
4998,1.0
5082,0.0
2679,1.0
2514,0.0
3340,1.0
5542,1.0
5333,0.0
7120,0.0
5250,0.0
5648,1.0
398,1.0
508,0.0
5425,0.0
2882,0.0
4003,1.0
2890,0.0
5627,0.0
1724,1.0
4247,0.0
5984,0.0
5936,1.0
4692,0.0
2496,1.0
943,1.0
5672,0.0
6692,0.0
561,1.0
6134,1.0
5216,0.0
7049,0.0
432,0.0
2649,1.0
5508,1.0
6382,1.0
4930,0.0
6592,0.0
1327,0.0
1020,1.0
3969,0.0
232,0.0
7088,0.0
4672,0.0
6519,0.0
3715,1.0
3926,1.0
