id_i,id_j,distance,race_i,race_j,pair_type
5441,5685,0.008748407876232656,1,1,same_race
5441,6689,0.01334694264445313,1,1,same_race
2799,7170,0.0,1,1,same_race
2799,5479,0.0,1,1,same_race
2874,4638,0.0032201119083390406,1,0,cross_race
567,4758,0.0010865657921312888,1,0,cross_race
567,2556,0.0010865657921312888,1,0,cross_race
567,3328,0.0011758632226396282,1,1,same_race
567,3637,0.0011758632226396282,1,1,same_race
567,609,0.0011758632226396282,1,1,same_race
3039,5407,0.000569117609194647,0,1,cross_race
3039,5363,0.005074692382931567,0,0,same_race
3039,5010,0.007886713162544967,0,1,cross_race
3039,4593,0.008002899159255339,0,1,cross_race
3039,4450,0.00847067463733353,0,0,same_race
4804,4998,0.004404893155343537,1,0,cross_race
5438,6454,0.0,1,1,same_race
5438,5443,0.010213974698333739,1,1,same_race
5438,6679,0.01186656299794131,1,1,same_race
5438,6515,0.025567199292218845,1,1,same_race
4107,5627,0.0,0,1,cross_race
4107,5262,0.0066053790813424,0,0,same_race
583,2828,0.0,0,1,cross_race
583,6832,0.0008007880269341738,0,1,cross_race
583,780,0.0008007880269341738,0,0,same_race
583,3182,0.0008007880269341738,0,0,same_race
583,4220,0.0008007880269341738,0,1,cross_race
4617,5842,0.00042285237233885553,0,0,same_race
4617,6519,0.00046811000196833596,0,0,same_race
662,5226,0.0,1,0,cross_race
662,3053,0.0006810065814774058,1,0,cross_race
662,4120,0.0006864427387331951,1,0,cross_race
662,6867,0.0006864427387331951,1,0,cross_race
4644,6785,0.031267922685223715,1,1,same_race
3033,6679,0.0033309763975253315,1,1,same_race
3033,5438,0.021932735768481426,1,1,same_race
3033,6454,0.021932735768481426,1,1,same_race
3033,6681,0.024692958498657602,1,1,same_race
3033,6515,0.028806368536010818,1,1,same_race
4953,6073,0.08469474728139748,1,0,cross_race
4953,6975,0.14305364238344964,1,1,same_race
4953,6235,0.14599947804845104,1,0,cross_race
1816,4181,0.0,0,0,same_race
1816,2882,0.00028029724071076956,0,0,same_race
1816,7005,0.00028029724071076956,0,0,same_race
4851,6553,0.0,1,0,cross_race
4851,6217,0.0005770330371386301,1,0,cross_race
29,5626,0.002560043102001419,1,0,cross_race
29,6344,0.005593274454309349,1,1,same_race
29,1461,0.007094616605913595,1,1,same_race
29,5960,0.02002068759372677,1,1,same_race
749,3600,0.0020953588083847396,1,0,cross_race
749,3065,0.006054163517720146,1,1,same_race
749,3972,0.013139445149198514,1,0,cross_race
749,3091,0.01571680995919489,1,1,same_race
749,1960,0.020261051031307042,1,1,same_race
