id_i,id_j,distance,race_i,race_j,pair_type
5441,5685,0.22211688016013686,1,1,same_race
2799,6850,0.0,1,1,same_race
2799,5374,0.0,1,1,same_race
2799,3103,0.0,1,1,same_race
2874,5128,0.0,1,1,same_race
2874,3036,0.08524053745639301,1,1,same_race
567,2556,0.08524053745639293,1,0,cross_race
567,4758,0.08524053745639293,1,0,cross_race
567,3637,0.08524053745639304,1,1,same_race
567,609,0.08524053745639304,1,1,same_race
567,3328,0.08524053745639304,1,1,same_race
3039,5407,0.08524053745639301,0,1,cross_race
3039,5363,0.25572161236917906,0,0,same_race
3039,4450,0.3278162629567217,0,0,same_race
3039,5010,0.3278162629567218,0,1,cross_race
3039,4593,0.3278162629567218,0,1,cross_race
4804,5699,0.0,1,1,same_race
5438,6454,0.0,1,1,same_race
5438,6679,0.48339774506876226,1,1,same_race
5438,5443,0.5334182453933755,1,1,same_race
5438,6681,1.056949631575762,1,1,same_race
583,2828,0.0,0,1,cross_race
583,3182,0.08524053745639304,0,0,same_race
583,3390,0.08524053745639304,0,1,cross_race
583,6832,0.08524053745639304,0,1,cross_race
583,780,0.08524053745639304,0,0,same_race
4617,6519,0.08524053745639293,0,0,same_race
4617,5842,0.08524053745639293,0,0,same_race
662,5226,0.0,1,0,cross_race
662,6867,0.08524053745639301,1,0,cross_race
662,4120,0.08524053745639301,1,0,cross_race
662,3053,0.08524053745639303,1,0,cross_race
4644,6785,0.6556325259134435,1,1,same_race
3033,6679,0.22211688016013686,1,1,same_race
3033,6681,0.5915476037913093,1,1,same_race
3033,5438,0.6385087547867919,1,1,same_race
3033,6454,0.6385087547867919,1,1,same_race
4953,6073,1.6278728111799488,1,0,cross_race
4953,6235,1.9990519214412317,1,0,cross_race
1816,4181,0.0,0,0,same_race
1816,2882,0.08524053745639293,0,0,same_race
1816,7005,0.08524053745639293,0,0,same_race
4851,6217,0.08524053745639315,1,0,cross_race
29,5626,0.17048107491278608,1,0,cross_race
29,6344,0.2557216123691791,1,1,same_race
29,1461,0.26670912269668773,1,1,same_race
29,7033,0.4442337603202737,1,1,same_race
749,3600,0.22211688016013684,1,0,cross_race
749,3065,0.7958018518196442,1,1,same_race
749,6941,1.0512966068724063,1,1,same_race
749,1960,1.1933675243895023,1,1,same_race
4320,4405,0.08524053745639293,1,0,cross_race
4320,6618,0.08524053745639304,1,1,same_race
4320,7017,0.08524053745639304,1,1,same_race
2027,3881,0.17048107491278602,1,0,cross_race
2027,2855,0.17048107491278602,1,1,same_race
2027,3952,0.17048107491278608,1,1,same_race
2027,4532,0.2051096273367436,1,0,cross_race
906,5503,0.0,0,1,cross_race
906,2677,0.0,0,0,same_race
906,7020,0.0,0,1,cross_race
61,1469,1.9510553366978909,1,1,same_race
61,6000,3.0340904343019153,1,1,same_race
61,7145,3.1233492152572713,1,0,cross_race
61,2469,3.277680810298629,1,1,same_race
61,5023,3.431423664210916,1,1,same_race
2025,6850,0.0,1,1,same_race
2025,5374,0.0,1,1,same_race
2025,2799,0.0,1,1,same_race
2025,3103,0.0,1,1,same_race
3071,6644,0.0,0,0,same_race
3071,6736,0.0,0,1,cross_race
3071,4935,0.0,0,1,cross_race
3071,6802,0.0,0,0,same_race
2234,6217,0.0,0,0,same_race
2234,3087,0.0,0,1,cross_race
2234,6987,0.08524053745639293,0,1,cross_race
2234,2396,0.08524053745639293,0,1,cross_race
774,4222,0.0,1,0,cross_race
774,6104,0.08524053745639298,1,1,same_race
774,1149,0.08524053745639298,1,0,cross_race
3342,5360,0.0,1,1,same_race
3241,5515,0.08524053745639304,1,0,cross_race
3241,3921,0.08524053745639304,1,1,same_race
3241,3697,0.08524053745639304,1,1,same_race
4765,5892,0.17048107491278586,0,0,same_race
3317,5364,0.0,1,1,same_race
