id_i,id_j,distance,race_i,race_j,pair_type,inconsistent_baseline,inconsistent_eo,eo_introduced,eo_resolved,threshold_distance_i,threshold_distance_j
5441,5685,0.008748407876232656,1,1,same_race,0,0,0,0,0.028453190661847705,0.0
5441,6689,0.01334694264445313,1,1,same_race,0,0,0,0,0.028453190661847705,0.048338762803230684
2799,7170,0.0,1,1,same_race,0,0,0,0,0.1735525390284639,0.1735525390284639
2799,5479,0.0,1,1,same_race,0,0,0,0,0.1735525390284639,0.1735525390284639
2874,4638,0.0032201119083390406,1,0,cross_race,0,0,0,0,0.3258391086648871,0.15115424656839327
567,4758,0.0010865657921312888,1,0,cross_race,0,1,1,0,0.05038823662012071,0.1542453834894244
567,2556,0.0010865657921312888,1,0,cross_race,0,1,1,0,0.05038823662012071,0.1542453834894244
567,3328,0.0011758632226396282,1,1,same_race,0,0,0,0,0.05038823662012071,0.05038823662012071
567,3637,0.0011758632226396282,1,1,same_race,0,0,0,0,0.05038823662012071,0.05038823662012071
567,609,0.0011758632226396282,1,1,same_race,0,0,0,0,0.05038823662012071,0.05038823662012071
3039,5407,0.000569117609194647,0,1,cross_race,0,0,0,0,0.25440314437516454,0.42908800647165835
3039,5363,0.005074692382931567,0,0,same_race,0,0,0,0,0.25440314437516454,0.2680616809605304
3039,5010,0.007886713162544967,0,1,cross_race,0,0,0,0,0.25440314437516454,0.4703400606505419
3039,4593,0.008002899159255339,0,1,cross_race,0,0,0,0,0.25440314437516454,0.42908800647165835
3039,4450,0.00847067463733353,0,0,same_race,0,0,0,0,0.25440314437516454,0.25440314437516454
4804,4998,0.004404893155343537,1,0,cross_race,0,0,0,0,0.1297356470418275,0.37580772438570587
5438,6454,0.0,1,1,same_race,0,0,0,0,0.09848269398358267,0.09848269398358267
5438,5443,0.010213974698333739,1,1,same_race,0,0,0,0,0.09848269398358267,0.12501927934943635
5438,6679,0.01186656299794131,1,1,same_race,0,0,0,0,0.09848269398358267,0.056468844104043625
5438,6515,0.025567199292218845,1,1,same_race,0,0,0,0,0.09848269398358267,0.12961252060294237
4107,5627,0.0,0,1,cross_race,0,0,0,0,0.2907057036045531,0.4653905657010469
4107,5262,0.0066053790813424,0,0,same_race,0,0,0,0,0.2907057036045531,0.31146915204242015
583,2828,0.0,0,1,cross_race,0,0,0,0,0.07264444141605109,0.2473293035125449
583,6832,0.0008007880269341738,0,1,cross_race,0,0,0,0,0.07264444141605109,0.26156461616045873
583,780,0.0008007880269341738,0,0,same_race,0,0,0,0,0.07264444141605109,0.08687975406396492
583,3182,0.0008007880269341738,0,0,same_race,0,0,0,0,0.07264444141605109,0.08687975406396492
583,4220,0.0008007880269341738,0,1,cross_race,0,0,0,0,0.07264444141605109,0.26156461616045873
4617,5842,0.00042285237233885553,0,0,same_race,0,0,0,0,0.3124447617985177,0.3124447617985177
4617,6519,0.00046811000196833596,0,0,same_race,0,0,0,0,0.3124447617985177,0.3124447617985177
662,5226,0.0,1,0,cross_race,0,0,0,0,0.4024323935156929,0.22774753141919907
662,3053,0.0006810065814774058,1,0,cross_race,0,0,0,0,0.4024323935156929,0.22774753141919907
662,4120,0.0006864427387331951,1,0,cross_race,0,0,0,0,0.4024323935156929,0.2380039416756093
662,6867,0.0006864427387331951,1,0,cross_race,0,0,0,0,0.4024323935156929,0.2380039416756093
4644,6785,0.031267922685223715,1,1,same_race,0,0,0,0,0.09848269398358267,0.048338762803230684
3033,6679,0.0033309763975253315,1,1,same_race,0,0,0,0,0.048338762803230684,0.056468844104043625
3033,5438,0.021932735768481426,1,1,same_race,0,0,0,0,0.048338762803230684,0.09848269398358267
3033,6454,0.021932735768481426,1,1,same_race,0,0,0,0,0.048338762803230684,0.09848269398358267
3033,6681,0.024692958498657602,1,1,same_race,0,0,0,0,0.048338762803230684,0.04540375232105032
3033,6515,0.028806368536010818,1,1,same_race,0,0,0,0,0.048338762803230684,0.12961252060294237
4953,6073,0.08469474728139748,1,0,cross_race,0,0,0,0,0.34290835182108664,0.2956551985540481
4953,6975,0.14305364238344964,1,1,same_race,0,0,0,0,0.34290835182108664,0.31635320485062507
4953,6235,0.14599947804845104,1,0,cross_race,0,0,0,0,0.34290835182108664,0.3341554750693333
1816,4181,0.0,0,0,same_race,0,0,0,0,0.3412550421689004,0.3412550421689004
1816,2882,0.00028029724071076956,0,0,same_race,0,0,0,0,0.3412550421689004,0.35922680083385544
1816,7005,0.00028029724071076956,0,0,same_race,0,0,0,0,0.3412550421689004,0.35922680083385544
4851,6553,0.0,1,0,cross_race,0,0,0,0,0.26156461616045873,0.08687975406396492
4851,6217,0.0005770330371386301,1,0,cross_race,0,0,0,0,0.26156461616045873,0.09313496674119603
29,5626,0.002560043102001419,1,0,cross_race,0,0,0,0,0.048338762803230684,0.2382498941493303
29,6344,0.005593274454309349,1,1,same_race,0,0,0,0,0.048338762803230684,0.056468844104043625
29,1461,0.007094616605913595,1,1,same_race,0,0,0,0,0.048338762803230684,0.048338762803230684
29,5960,0.02002068759372677,1,1,same_race,0,0,0,0,0.048338762803230684,0.029815472483899597
749,3600,0.0020953588083847396,1,0,cross_race,0,0,0,0,0.42908800647165835,0.2680616809605304
749,3065,0.006054163517720146,1,1,same_race,0,0,0,0,0.42908800647165835,0.42908800647165835
749,3972,0.013139445149198514,1,0,cross_race,0,0,0,0,0.42908800647165835,0.20607720817801145
749,3091,0.01571680995919489,1,1,same_race,0,0,0,0,0.42908800647165835,0.36850499474461157
749,1960,0.020261051031307042,1,1,same_race,0,0,0,0,0.42908800647165835,0.3258391086648871
6676,6885,0.0012705434654904924,1,0,cross_race,0,0,0,0,0.32976768009345847,0.15115424656839327
4320,4405,0.0006064972982940953,1,0,cross_race,0,0,0,0,0.3258391086648871,0.1297095798675333
4320,6618,0.0006311386830362142,1,1,same_race,0,0,0,0,0.3258391086648871,0.3258391086648871
4320,7017,0.0006311386830362142,1,1,same_race,0,0,0,0,0.3258391086648871,0.3258391086648871
2027,2855,0.01117323923754654,1,1,same_race,1,0,0,1,0.2357787547029555,0.17577476125068614
2027,3881,0.01117323923754654,1,0,cross_race,1,0,0,1,0.2357787547029555,0.0010898991541923309
2027,3952,0.013424170110802547,1,1,same_race,0,0,0,0,0.2357787547029555,0.26781982883768984
2027,4532,0.015687977769737738,1,0,cross_race,0,0,0,0,0.2357787547029555,0.09313496674119603
906,4912,2.220446049250313e-16,0,0,same_race,0,0,0,0,0.0659616174741866,0.0659616174741866
906,4256,2.220446049250313e-16,0,0,same_race,0,0,0,0,0.0659616174741866,0.0659616174741866
906,5503,2.220446049250313e-16,0,1,cross_race,0,0,0,0,0.0659616174741866,0.24064647957068042
906,7020,2.220446049250313e-16,0,1,cross_race,0,0,0,0,0.0659616174741866,0.24064647957068042
61,1469,0.0649057137095217,1,1,same_race,0,0,0,0,0.16545524576899073,0.16545524576899073
61,2469,0.1387853001014263,1,1,same_race,0,0,0,0,0.16545524576899073,0.29646257177631674
61,6000,0.1605652948354963,1,1,same_race,0,0,0,0,0.16545524576899073,0.09848269398358267
61,7145,0.17661413942373683,1,0,cross_race,0,0,0,0,0.16545524576899073,0.3353315339095154
61,1521,0.18632514319006854,1,1,same_race,0,0,0,0,0.16545524576899073,0.2471596466202598
2025,7170,0.0,1,1,same_race,0,0,0,0,0.1735525390284639,0.1735525390284639
2025,5479,0.0,1,1,same_race,0,0,0,0,0.1735525390284639,0.1735525390284639
6104,6872,0.0011691231634956,1,1,same_race,0,0,0,0,0.3900400824639098,0.3737505664032267
3071,6802,0.0,0,0,same_race,0,0,0,0,0.2380039416756093,0.2380039416756093
3071,6644,0.0,0,0,same_race,0,0,0,0,0.2380039416756093,0.2380039416756093
3071,6736,0.0,0,1,cross_race,0,0,0,0,0.2380039416756093,0.4126888037721031
2234,3087,3.3306690738754696e-16,0,1,cross_race,0,0,0,0,0.09313496674119603,0.26781982883768984
2234,6553,0.0005770330371386301,0,0,same_race,0,0,0,0,0.09313496674119603,0.08687975406396492
2234,4851,0.0005770330371386301,0,1,cross_race,0,0,0,0,0.09313496674119603,0.26156461616045873
774,4222,2.220446049250313e-16,1,0,cross_race,0,0,0,0,0.4024323935156929,0.22774753141919907
774,6104,0.0012226781839016487,1,1,same_race,0,0,0,0,0.4024323935156929,0.3900400824639098
774,1149,0.0012226781839016487,1,0,cross_race,0,0,0,0,0.4024323935156929,0.215355220367416
3342,5169,2.220446049250313e-16,1,1,same_race,0,0,0,0,0.3180950009207793,0.3180950009207793
3241,3921,0.002302111084533931,1,1,same_race,0,0,0,0,0.0,0.01226415094339628
3241,3697,0.002302111084533931,1,1,same_race,0,0,0,0,0.0,0.01226415094339628
3241,5515,0.002622271427427325,1,0,cross_race,0,0,0,0,0.0,0.17046611927537747
4765,5892,0.0009633217414567463,0,0,same_race,0,0,0,0,0.39180977341682804,0.39180977341682804
3317,5364,0.0,1,1,same_race,0,0,0,0,0.2357787547029555,0.2357787547029555
3317,4721,0.0,1,1,same_race,0,0,0,0,0.2357787547029555,0.2357787547029555
3317,6177,0.001612115603685682,1,1,same_race,1,0,0,1,0.2357787547029555,0.1848656703415953
5642,7079,1.1102230246251565e-16,1,1,same_race,0,0,0,0,0.26781982883768984,0.26781982883768984
4516,5352,0.0011632577998869076,0,0,same_race,0,0,0,0,0.25440314437516454,0.25440314437516454
4516,4773,0.001217656576229409,0,0,same_race,0,0,0,0,0.25440314437516454,0.25440314437516454
4516,5361,0.001217656576229409,0,0,same_race,0,0,0,0,0.25440314437516454,0.25440314437516454
1778,3952,0.003626765294910128,1,1,same_race,0,0,0,0,0.26781982883768984,0.26781982883768984
1778,4424,0.003674752972670725,1,0,cross_race,0,0,0,0,0.26781982883768984,0.09313496674119603
1778,3036,0.014554875874295603,1,1,same_race,0,0,0,0,0.26781982883768984,0.3258391086648871
4902,5579,0.0,0,1,cross_race,0,0,0,0,0.01018080824510148,0.1848656703415953
4902,6002,0.0,0,1,cross_race,0,0,0,0,0.01018080824510148,0.1848656703415953
6311,6614,0.0,0,0,same_race,0,0,0,0,0.22774753141919907,0.22774753141919907
6311,6507,0.0012995402767975728,0,1,cross_race,0,0,0,0,0.22774753141919907,0.4024323935156929
6311,6692,0.0012995402767975728,0,1,cross_race,0,0,0,0,0.22774753141919907,0.4024323935156929
548,2843,0.0,0,1,cross_race,0,1,1,0,0.10831154952742139,0.06524098950104251
548,754,0.0008752930621437338,0,1,cross_race,0,1,1,0,0.10831154952742139,0.05210967636972941
548,5888,0.0008752930621437338,0,1,cross_race,0,1,1,0,0.10831154952742139,0.05210967636972941
548,1886,0.0008752930621437338,0,1,cross_race,0,1,1,0,0.10831154952742139,0.05210967636972941
548,6664,0.0010389968420544404,0,1,cross_race,0,1,1,0,0.10831154952742139,0.07395582678730839
4582,5672,0.0040918517322621195,1,1,same_race,0,0,0,0,0.16734001591938918,0.1820299739279172
1377,5233,0.06411524679610625,1,0,cross_race,0,0,0,0,0.008603581621721479,0.28216575296317326
1377,5276,0.08989568744951792,1,1,same_race,0,1,1,0,0.008603581621721479,0.049020253715089224
1377,3820,0.09595869665426326,1,1,same_race,0,1,1,0,0.008603581621721479,0.14627033673970868
5888,6132,0.0007376097883854404,1,0,cross_race,0,1,1,0,0.05210967636972941,0.13757871682275769
5888,6499,0.0007376097883854404,1,1,same_race,0,0,0,0,0.05210967636972941,0.03597382220570622
