id_i,id_j,distance,race_i,race_j,pair_type,inconsistent_baseline,inconsistent_eo,eo_introduced,eo_resolved,threshold_distance_i,threshold_distance_j
567,2556,0.08524053745639293,1,0,cross_race,0,1,1,0,0.05038823662012071,0.1542453834894244
567,4758,0.08524053745639293,1,0,cross_race,0,1,1,0,0.05038823662012071,0.1542453834894244
3039,5407,0.08524053745639301,0,1,cross_race,0,0,0,0,0.25440314437516454,0.42908800647165835
3039,5010,0.3278162629567218,0,1,cross_race,0,0,0,0,0.25440314437516454,0.4703400606505419
3039,4593,0.3278162629567218,0,1,cross_race,0,0,0,0,0.25440314437516454,0.42908800647165835
583,2828,0.0,0,1,cross_race,0,0,0,0,0.07264444141605109,0.2473293035125449
583,3390,0.08524053745639304,0,1,cross_race,0,0,0,0,0.07264444141605109,0.26156461616045873
583,6832,0.08524053745639304,0,1,cross_race,0,0,0,0,0.07264444141605109,0.26156461616045873
662,5226,0.0,1,0,cross_race,0,0,0,0,0.4024323935156929,0.22774753141919907
662,6867,0.08524053745639301,1,0,cross_race,0,0,0,0,0.4024323935156929,0.2380039416756093
662,4120,0.08524053745639301,1,0,cross_race,0,0,0,0,0.4024323935156929,0.2380039416756093
662,3053,0.08524053745639303,1,0,cross_race,0,0,0,0,0.4024323935156929,0.22774753141919907
4953,6073,1.6278728111799488,1,0,cross_race,0,0,0,0,0.34290835182108664,0.2956551985540481
4953,6235,1.9990519214412317,1,0,cross_race,0,0,0,0,0.34290835182108664,0.3341554750693333
4851,6217,0.08524053745639315,1,0,cross_race,0,0,0,0,0.26156461616045873,0.09313496674119603
29,5626,0.17048107491278608,1,0,cross_race,0,0,0,0,0.048338762803230684,0.2382498941493303
749,3600,0.22211688016013684,1,0,cross_race,0,0,0,0,0.42908800647165835,0.2680616809605304
4320,4405,0.08524053745639293,1,0,cross_race,0,0,0,0,0.3258391086648871,0.1297095798675333
2027,3881,0.17048107491278602,1,0,cross_race,1,0,0,1,0.2357787547029555,0.0010898991541923309
2027,4532,0.2051096273367436,1,0,cross_race,0,0,0,0,0.2357787547029555,0.09313496674119603
906,5503,0.0,0,1,cross_race,0,0,0,0,0.0659616174741866,0.24064647957068042
906,7020,0.0,0,1,cross_race,0,0,0,0,0.0659616174741866,0.24064647957068042
61,7145,3.1233492152572713,1,0,cross_race,0,0,0,0,0.16545524576899073,0.3353315339095154
3071,6736,0.0,0,1,cross_race,0,0,0,0,0.2380039416756093,0.4126888037721031
3071,4935,0.0,0,1,cross_race,0,0,0,0,0.2380039416756093,0.4126888037721031
2234,3087,0.0,0,1,cross_race,0,0,0,0,0.09313496674119603,0.26781982883768984
2234,6987,0.08524053745639293,0,1,cross_race,0,0,0,0,0.09313496674119603,0.26781982883768984
2234,2396,0.08524053745639293,0,1,cross_race,0,0,0,0,0.09313496674119603,0.26781982883768984
774,4222,0.0,1,0,cross_race,0,0,0,0,0.4024323935156929,0.22774753141919907
774,1149,0.08524053745639298,1,0,cross_race,0,0,0,0,0.4024323935156929,0.215355220367416
3241,5515,0.08524053745639304,1,0,cross_race,0,0,0,0,0.0,0.17046611927537747
1778,4424,0.08524053745639301,1,0,cross_race,0,0,0,0,0.26781982883768984,0.09313496674119603
1778,2291,0.17048107491278602,1,0,cross_race,0,0,0,0,0.26781982883768984,0.15115424656839327
4902,5197,0.0,0,1,cross_race,0,0,0,0,0.01018080824510148,0.1848656703415953
6311,6692,0.08524053745639303,0,1,cross_race,0,0,0,0,0.22774753141919907,0.4024323935156929
548,4813,0.08524053745639304,0,1,cross_race,0,1,1,0,0.10831154952742139,0.07395582678730839
548,754,0.08524053745639304,0,1,cross_race,0,1,1,0,0.10831154952742139,0.05210967636972941
548,5888,0.08524053745639304,0,1,cross_race,0,1,1,0,0.10831154952742139,0.05210967636972941
5888,6132,0.08524053745639293,1,0,cross_race,0,1,1,0,0.05210967636972941,0.13757871682275769
2002,6075,0.0,0,1,cross_race,0,0,0,0,0.15508281799696466,0.32976768009345847
6022,6725,0.26670912269668773,1,0,cross_race,0,0,0,0,0.42908800647165835,0.25440314437516454
347,1691,0.2051096273367436,1,0,cross_race,0,1,1,0,0.05038823662012071,0.19960075654423848
4778,5744,0.08524053745639303,1,0,cross_race,0,0,0,0,0.17577476125068614,0.0010898991541923309
2147,2649,0.26670912269668773,1,0,cross_race,0,0,0,0,0.12501927934943635,0.30858410417080095
5959,6336,0.0,1,0,cross_race,0,1,1,0,0.10747347972554522,0.06607905930291869
4082,5787,0.17048107491278602,0,1,cross_race,0,0,0,0,0.22774753141919907,0.4024323935156929
4082,6241,0.17048107491278605,0,1,cross_race,0,0,0,0,0.22774753141919907,0.3735149961514093
1964,5942,0.17048107491278608,1,0,cross_race,0,0,0,0,0.3258391086648871,0.16957372577251
717,7044,0.22211688016013684,0,1,cross_race,0,0,0,0,0.35922680083385544,0.5159399042653943
717,4674,0.47298910121966486,0,1,cross_race,0,0,0,0,0.35922680083385544,0.4871296238950115
717,4717,0.511443224738358,0,1,cross_race,0,0,0,0,0.35922680083385544,0.5088403371658271
914,4224,0.08524053745639304,1,0,cross_race,0,1,1,0,0.1503608439336641,0.0
6119,6336,0.0,1,0,cross_race,0,1,1,0,0.10747347972554522,0.06607905930291869
2589,6072,0.0,1,0,cross_race,0,0,0,0,0.3258391086648871,0.15115424656839327
2589,5631,0.0,1,0,cross_race,0,0,0,0,0.3258391086648871,0.15115424656839327
2589,5353,0.0,1,0,cross_race,0,0,0,0,0.3258391086648871,0.15115424656839327
2589,6851,0.08524053745639298,1,0,cross_race,0,0,0,0,0.3258391086648871,0.15508281799696466
5023,7145,1.277017509573584,1,0,cross_race,0,0,0,0,0.09848269398358267,0.3353315339095154
4222,6104,0.08524053745639298,0,1,cross_race,0,0,0,0,0.22774753141919907,0.3900400824639098
1239,3034,0.0,1,0,cross_race,0,0,0,0,0.32976768009345847,0.15508281799696466
1239,4903,0.0,1,0,cross_race,0,0,0,0,0.32976768009345847,0.15508281799696466
4453,5216,0.0,0,1,cross_race,0,1,1,0,0.172190257206412,0.0013622818220518917
2274,4453,0.08524053745639304,1,0,cross_race,0,1,1,0,0.0030864197530864335,0.172190257206412
32,3111,0.17048107491278602,1,0,cross_race,0,1,1,0,0.10747347972554522,0.11272802537246862
32,5744,0.20510962733674362,1,0,cross_race,0,0,0,0,0.10747347972554522,0.0010898991541923309
32,1790,0.20510962733674365,1,0,cross_race,0,1,1,0,0.10747347972554522,0.1231643024083432
4628,6265,0.4442337603202737,0,1,cross_race,1,1,0,0,0.0,0.3258391086648871
4628,6375,0.6212049438484978,0,1,cross_race,1,1,0,0,0.0,0.3258391086648871
2556,2562,0.08524053745639304,0,1,cross_race,0,1,1,0,0.1542453834894244,0.0013622818220518917
2556,3637,0.17048107491278597,0,1,cross_race,0,1,1,0,0.1542453834894244,0.05038823662012071
3820,4624,0.2667091226966877,1,0,cross_race,0,1,1,0,0.14627033673970868,0.1701272864851875
