id_i,id_j,distance,race_i,race_j,pair_type,profile_id
3221,3972,,1,0,cross_race,36+_6+_felony
6941,3523,,1,0,cross_race,36+_6+_felony
1096,738,,0,1,cross_race,36+_6+_felony
1020,7026,,1,1,same_race,36+_6+_felony
6846,5613,,1,1,same_race,36+_6+_felony
3147,625,,0,1,cross_race,36+_6+_felony
4699,4732,,1,0,cross_race,36+_6+_felony
1096,1038,,0,1,cross_race,36+_6+_felony
3870,6983,,0,0,same_race,36+_6+_felony
2268,4317,,1,0,cross_race,36+_6+_felony
20,2974,,1,1,same_race,36+_6+_felony
398,6382,,1,1,same_race,36+_6+_felony
5069,833,,1,1,same_race,36+_6+_felony
2147,5542,,1,0,cross_race,36+_6+_felony
1299,833,,1,1,same_race,36+_6+_felony
6382,5069,,1,1,same_race,36+_6+_felony
1299,5685,,1,1,same_race,36+_6+_felony
757,5699,,1,1,same_race,36+_6+_felony
6816,5069,,1,1,same_race,36+_6+_felony
398,4699,,1,1,same_race,36+_6+_felony
5685,4847,,1,0,cross_race,36+_6+_felony
6816,7088,,1,1,same_race,36+_6+_felony
3147,2202,,0,1,cross_race,36+_6+_felony
2932,3600,,1,0,cross_race,36+_6+_felony
3221,2391,,1,1,same_race,36+_6+_felony
2288,2932,,1,1,same_race,36+_6+_felony
6769,625,,1,1,same_race,36+_6+_felony
1400,6983,,1,0,cross_race,36+_6+_felony
58,2099,,0,1,cross_race,36+_6+_felony
4998,6210,,0,1,cross_race,36+_6+_felony
6983,4732,,0,0,same_race,36+_6+_felony
3147,1096,,0,0,same_race,36+_6+_felony
398,1629,,1,1,same_race,36+_6+_felony
6194,7026,,1,1,same_race,36+_6+_felony
5685,3065,,1,1,same_race,36+_6+_felony
4238,3091,,0,1,cross_race,36+_6+_felony
2215,6382,,1,1,same_race,36+_6+_felony
3818,2391,,1,1,same_race,36+_6+_felony
4847,4732,,0,0,same_race,36+_6+_felony
6975,2974,,1,1,same_race,36+_6+_felony
757,7026,,1,1,same_race,36+_6+_felony
2147,4699,,1,1,same_race,36+_6+_felony
833,6247,,1,1,same_race,36+_6+_felony
4238,833,,0,1,cross_race,36+_6+_felony
7088,3600,,1,0,cross_race,36+_6+_felony
757,833,,1,1,same_race,36+_6+_felony
2215,1020,,1,1,same_race,36+_6+_felony
3221,4847,,1,0,cross_race,36+_6+_felony
6975,2268,,1,1,same_race,36+_6+_felony
2932,6247,,1,1,same_race,36+_6+_felony
6846,3264,,1,1,same_race,36+_6+_felony
3972,738,,0,1,cross_race,36+_6+_felony
2649,1096,,0,0,same_race,36+_6+_felony
3221,2268,,1,1,same_race,36+_6+_felony
4238,3147,,0,0,same_race,36+_6+_felony
1400,1038,,1,1,same_race,36+_6+_felony
6769,833,,1,1,same_race,36+_6+_felony
4998,833,,0,1,cross_race,36+_6+_felony
4140,2169,,1,0,cross_race,36+_6+_felony
2932,2391,,1,1,same_race,36+_6+_felony
5542,2823,,0,1,cross_race,36+_6+_felony
3818,3912,,1,0,cross_race,36+_6+_felony
6194,2754,,1,1,same_race,36+_6+_felony
398,2202,,1,1,same_race,36+_6+_felony
1400,6670,,1,1,same_race,36+_6+_felony
2215,5542,,1,0,cross_race,36+_6+_felony
2169,1960,,0,1,cross_race,36+_6+_felony
2147,2202,,1,1,same_race,36+_6+_felony
7088,20,,1,1,same_race,36+_6+_felony
6194,3600,,1,0,cross_race,36+_6+_felony
5441,5699,,1,1,same_race,36+_6+_felony
3870,5069,,0,1,cross_race,36+_6+_felony
3221,3065,,1,1,same_race,36+_6+_felony
6846,1299,,1,1,same_race,36+_6+_felony
833,4699,,1,1,same_race,36+_6+_felony
4317,1096,,0,0,same_race,36+_6+_felony
3818,7088,,1,1,same_race,36+_6+_felony
7026,4699,,1,1,same_race,36+_6+_felony
757,2169,,1,0,cross_race,36+_6+_felony
58,2202,,0,1,cross_race,36+_6+_felony
4998,3264,,0,1,cross_race,36+_6+_felony
2649,20,,0,1,cross_race,36+_6+_felony
3972,3912,,0,0,same_race,36+_6+_felony
2268,1038,,1,1,same_race,36+_6+_felony
6816,4998,,1,0,cross_race,36+_6+_felony
2202,4140,,1,1,same_race,36+_6+_felony
2288,738,,1,1,same_race,36+_6+_felony
6975,4732,,1,0,cross_race,36+_6+_felony
4317,1537,,0,0,same_race,36+_6+_felony
4317,3065,,0,1,cross_race,36+_6+_felony
5069,2672,,1,1,same_race,36+_6+_felony
3147,3264,,0,1,cross_race,36+_6+_felony
2215,6247,,1,1,same_race,36+_6+_felony
2932,1038,,1,1,same_race,36+_6+_felony
3841,6382,,1,1,same_race,36+_6+_felony
2147,3091,,1,1,same_race,36+_6+_felony
5542,5685,,0,1,cross_race,36+_6+_felony
4140,3489,,1,0,cross_race,36+_6+_felony
